period_flag,category_raw,value
CORE,대부업 등의 등록 및 금융이용자 보호에 관한법률 / 남자검거인원[명],14343.0
CORE,여신전문금융업법 / 검거건수[건],14321.0
CORE,고용보험법 / 여자검거인원[명],14137.0
CORE,약사법 / 남자검거인원[명],14124.0
CORE,여객자동차 운수사업법 / 검거인원[명],14043.0
CORE,도로교통법 / 여자검거인원[명],13996.0
CORE,약사법 / 발생건수[건],13898.0
CORE,마약류관리에 관한법률(대마) / 발생건수[건],13775.0
CORE,저작권법 / 법인[개],13700.0
CORE,직무유기 / 발생건수[건],13679.0
CORE,개인정보보호법 / 검거건수[건],13661.0
CORE,방화 / 발생건수[건],13659.0
CORE,직권남용 / 미상검거인원[명],13586.0
CORE,조세범처벌법 / 법인[개],13547.0
CORE,건설산업기본법 / 발생건수[건],13522.0
CORE,국토의계획 및 이용에 관한법률 / 발생건수[건],13504.0
CORE,체포와 감금 / 검거건수[건],13484.0
CORE,공중밀집장소 추행 / 검거인원[명],13482.0
CORE,약사법 / 검거건수[건],13440.0
CORE,공중밀집장소 추행 / 검거건수[건],13375.0
CORE,통화 / 발생건수[건],13374.0
CORE,공중밀집장소 추행 / 남자검거인원[명],13328.0
CORE,게임산업진흥에 관한법률 / 여자검거인원[명],13293.0
CORE,일반방화 / 발생건수[건],13291.0
CORE,대기환경보전법 / 법인[개],13155.0
CORE,국토의계획 및 이용에 관한법률 / 검거건수[건],13099.0
CORE,공직선거법 / 남자검거인원[명],13084.0
CORE,감금 / 발생건수[건],13014.0
CORE,마약류관리에 관한법률(대마) / 검거건수[건],13001.0
CORE,보조금관리에 관한법률 / 남자검거인원[명],12934.0
CORE,여객자동차 운수사업법 / 남자검거인원[명],12931.0
CORE,건설산업기본법 / 검거건수[건],12903.0
CORE,수산자원관리법 / 검거인원[명],12678.0
CORE,여신전문금융업법 / 남자검거인원[명],12604.0
CORE,건축법 / 여자검거인원[명],12556.0
CORE,"폭력행위등(손괴,강요,주거침입등) / 발생건수[건]",12517.0
CORE,방화 / 검거인원[명],12489.0
CORE,공직선거법 / 발생건수[건],12437.0
CORE,공인중개사법 / 남자검거인원[명],12433.0
CORE,부정수표단속법 / 검거건수[건],12252.0
CORE,대부업 등의 등록 및 금융이용자 보호에 관한법률 / 발생건수[건],12244.0
CORE,개발제한구역의 지정 및 관리에 관한 특별조치법 / 검거인원[명],12225.0
CORE,방화 / 검거건수[건],12191.0
CORE,과실치사상,12183.0
CORE,감금 / 검거건수[건],12148.0
